,ATL,BOS,BRK,CHO,CHI,CLE,DAL,DEN,HOU,DET,GSW,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
ATL,0.0,0.0,0.0,96.3,114.2,112.7,0.0,0.0,110.4,0.0,99.5,98.3,0.0,106.75,0.0,95.0,108.3,0.0,98.4,98.0,0.0,0.0,110.7,105.5,0.0,113.1,0.0,0.0,72.4,100.15
BOS,0.0,0.0,113.75,110.0,108.8,122.8,100.3,106.7,0.0,116.0,91.9,112.7,0.0,0.0,0.0,115.7,0.0,105.9,105.3,113.4,0.0,0.0,0.0,0.0,0.0,0.0,110.4,0.0,0.0,102.3
BRK,0.0,102.05,0.0,92.3,87.0,0.0,0.0,0.0,0.0,112.0,0.0,101.1,101.3,109.2,0.0,0.0,106.2,116.8,0.0,94.9,102.8,0.0,0.0,113.2,108.4,107.3,0.0,0.0,0.0,0.0
CHO,100.3,103.6,96.2,0.0,0.0,100.6,0.0,0.0,0.0,93.6,0.0,116.6,0.0,0.0,103.6,99.8,110.9,117.3,105.1,107.0,0.0,0.0,113.0,0.0,0.0,0.0,119.8,117.1,111.9,0.0
CHI,106.3,108.3,116.6,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,114.85,113.0,104.05,0.0,107.0,0.0,0.0,0.0,116.4,0.0,119.2,105.9,0.0,115.9,0.0,0.0,0.0,98.6,109.2
CLE,108.6,128.8,0.0,108.1,0.0,0.0,132.3,0.0,138.0,109.2,0.0,95.8,0.0,0.0,0.0,0.0,101.4,0.0,0.0,117.1,0.0,108.8,107.8,0.0,139.3,0.0,0.0,111.15,0.0,107.8
DAL,0.0,92.5,0.0,0.0,0.0,93.0,0.0,0.0,102.9,0.0,104.5,105.8,105.9,120.9,73.8,0.0,86.4,0.0,106.6,88.8,0.0,92.3,0.0,0.0,99.4,0.0,102.8,0.0,91.6,0.0
DEN,0.0,122.6,0.0,0.0,113.1,0.0,0.0,0.0,0.0,97.25,102.7,0.0,0.0,0.0,108.7,97.2,0.0,101.6,99.9,0.0,115.4,0.0,0.0,118.5,100.95,0.0,0.0,106.2,99.6,0.0
HOU,95.7,0.0,0.0,0.0,0.0,129.3,107.75,0.0,0.0,106.4,0.0,0.0,0.0,114.7,0.0,0.0,0.0,0.0,0.0,117.7,102.9,0.0,118.9,0.0,130.1,119.8,106.85,108.2,117.95,118.6
DET,0.0,118.65,103.8,117.8,0.0,85.0,0.0,112.15,103.2,0.0,0.0,0.0,103.65,0.0,0.0,114.9,105.1,0.0,0.0,110.5,100.55,113.3,0.0,98.7,0.0,0.0,100.5,95.6,0.0,0.0
GSW,104.5,108.6,0.0,0.0,0.0,0.0,127.7,127.0,0.0,0.0,0.0,118.9,0.0,113.05,0.0,0.0,124.9,121.2,115.85,0.0,126.0,0.0,0.0,115.85,120.6,0.0,101.8,127.5,0.0,0.0
IND,87.0,106.3,107.3,95.6,115.1,106.1,113.7,0.0,0.0,0.0,82.3,0.0,97.7,111.7,0.0,0.0,106.8,0.0,0.0,0.0,105.7,94.0,107.15,102.8,115.9,0.0,0.0,0.0,0.0,0.0
LAC,0.0,0.0,115.6,0.0,121.3,0.0,126.3,0.0,0.0,114.9,0.0,75.1,0.0,0.0,108.9,0.0,0.0,126.4,0.0,0.0,96.35,0.0,0.0,109.7,115.85,120.7,123.9,124.4,99.1,0.0
LAL,118.1,0.0,115.7,0.0,103.0,0.0,107.6,0.0,120.7,0.0,95.775,104.9,0.0,0.0,0.0,0.0,0.0,102.5,113.0,0.0,101.85,0.0,0.0,112.2,0.0,103.4,115.1,0.0,96.6,0.0
MEM,0.0,0.0,0.0,102.1,0.0,0.0,92.2,109.7,0.0,0.0,0.0,0.0,105.25,0.0,0.0,106.45,104.0,103.85,87.0,107.9,0.0,0.0,90.3,0.0,102.5,0.0,0.0,115.6,120.5,112.2
MIA,91.9,107.4,0.0,93.6,103.7,0.0,0.0,105.1,0.0,90.2,0.0,0.0,0.0,0.0,109.8,0.0,105.4,0.0,0.0,0.0,91.6,114.5,103.8,0.0,0.0,102.8,100.75,94.5,99.2,121.5
MIL,101.2,0.0,108.1,99.5,0.0,118.4,75.3,0.0,0.0,89.0,121.9,124.8,0.0,0.0,114.9,80.2,0.0,0.0,111.25,0.0,0.0,101.75,0.0,0.0,0.0,130.4,0.0,114.8,0.0,0.0
MIN,0.0,99.5,108.0,110.1,0.0,0.0,0.0,98.7,0.0,0.0,107.5,0.0,111.5,129.4,98.875,0.0,0.0,0.0,90.7,110.3,98.6,133.4,122.1,99.7,0.0,115.3,0.0,0.0,111.1,0.0
NOP,117.3,106.3,0.0,109.6,0.0,0.0,94.9,95.3,0.0,0.0,107.05,0.0,0.0,107.75,81.1,0.0,112.35,110.5,0.0,0.0,0.0,86.8,0.0,104.6,109.85,101.1,84.4,0.0,0.0,0.0
NYK,108.5,85.8,108.7,105.45,130.9,88.1,107.2,0.0,98.8,105.25,0.0,0.0,0.0,0.0,115.1,0.0,0.0,112.4,0.0,0.0,110.1,0.0,0.0,0.0,107.5,0.0,0.0,108.5,119.8,118.0
OKC,0.0,0.0,121.4,0.0,0.0,0.0,0.0,118.1,104.9,102.6,99.1,102.0,96.3,108.85,0.0,104.6,0.0,120.0,0.0,119.7,0.0,121.5,102.6,97.9,0.0,104.8,0.0,109.3,0.0,116.4
ORL,0.0,0.0,0.0,0.0,85.1,102.6,100.8,0.0,0.0,86.1,0.0,73.7,0.0,0.0,0.0,101.8,95.55,116.0,94.2,0.0,123.6,0.0,108.9,91.8,0.0,112.9,102.5,0.0,83.3,100.1
PHI,84.2,0.0,0.0,96.4,89.8,105.25,0.0,0.0,91.0,0.0,0.0,105.8,0.0,0.0,85.9,111.5,0.0,95.4,0.0,0.0,96.7,106.7,0.0,113.2,0.0,0.0,0.0,103.4,90.2,111.2
PHO,107.5,0.0,96.5,0.0,0.0,0.0,0.0,107.6,0.0,105.6,106.7,124.3,92.7,101.9,0.0,0.0,0.0,86.5,105.5,0.0,95.3,97.1,99.0,0.0,112.35,97.1,0.0,0.0,0.0,100.1
POR,0.0,0.0,128.3,0.0,90.3,127.1,109.8,105.3,113.35,0.0,98.8,139.3,95.35,0.0,109.1,0.0,0.0,0.0,111.1,103.5,0.0,0.0,0.0,112.5,0.0,120.4,0.0,0.0,124.8,0.0
SAC,101.3,0.0,124.7,0.0,0.0,0.0,0.0,0.0,106.5,0.0,0.0,0.0,114.7,93.2,0.0,91.4,101.4,118.6,109.7,0.0,120.4,104.1,0.0,116.8,118.5,0.0,107.05,109.5,0.0,89.3
SAS,0.0,116.9,0.0,125.0,0.0,0.0,109.75,0.0,109.05,112.2,131.3,0.0,98.2,124.8,0.0,106.65,0.0,0.0,104.7,0.0,0.0,89.5,0.0,0.0,0.0,114.1,0.0,0.0,105.05,120.3
TOR,0.0,0.0,0.0,119.2,0.0,107.55,0.0,108.8,122.0,114.5,121.4,0.0,116.3,0.0,132.1,104.2,121.8,0.0,0.0,119.6,120.0,0.0,132.7,0.0,0.0,105.05,0.0,0.0,0.0,118.0
UTA,101.1,0.0,0.0,105.5,89.4,0.0,109.7,104.65,123.8,0.0,0.0,0.0,84.4,104.2,113.5,111.2,0.0,120.9,0.0,125.2,0.0,98.0,117.0,0.0,114.9,0.0,105.8,0.0,0.0,0.0
WAS,94.35,129.8,0.0,0.0,97.8,96.5,0.0,0.0,110.3,0.0,0.0,0.0,0.0,0.0,103.2,118.3,0.0,0.0,0.0,125.4,106.2,100.55,104.1,105.0,0.0,94.9,107.4,107.6,0.0,0.0
